video_path,frame_index,timestamp_sec,timestamp_source,output_path,blur_score,mean_intensity,sun_elevation_deg,cloud_fraction,log_gain,illum_confidence,normalized
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,0,0.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000000_blur132.png,131.7,91.1,17.26,,0.8339,0.4,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,30,1.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000030_blur124.png,124.2,90.9,17.26,,0.8253,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,60,2.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000060_blur126.png,125.8,90.6,17.26,,0.801,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,90,3.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000090_blur125.png,125.1,90.3,17.27,,0.7971,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,120,4.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000120_blur125.png,124.9,90.0,17.27,,0.7842,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_083000_CAM01.mp4,150,5.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_083000_CAM01/CAR01_20240315_083000_CAM01_f000150_blur124.png,123.7,89.6,17.27,,0.7724,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,0,0.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000000_blur278.png,278.5,107.3,34.06,,0.473,0.4,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,30,1.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000030_blur236.png,236.0,96.4,34.06,,0.4401,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,60,2.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000060_blur284.png,283.9,95.0,34.06,,-0.049,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,90,3.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000090_blur258.png,257.6,94.9,34.06,,-0.1322,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,120,4.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000120_blur239.png,238.8,95.1,34.06,,0.1408,0.7,False
/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/fixtures/videos/CAR01_20240315_120000_CAM01.mp4,150,5.0,pts,/Users/ikramchoudhury/Cloud_Dashcam_POC/mock_dashcam_out/extracted/CAR01_20240315_120000_CAM01/CAR01_20240315_120000_CAM01_f000150_blur262.png,261.9,96.5,34.06,,0.624,0.7,False
